name,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Water No Get Enemy,D'Angelo,spotify:track:4HUQeJ3p6NI3zIioBDvFuD,0.786,0.753,10,-9.461,0,0.0803,0.312,0.0982,0.124,0.767,98.936,audio_features,4HUQeJ3p6NI3zIioBDvFuD,spotify:track:4HUQeJ3p6NI3zIioBDvFuD,https://api.spotify.com/v1/tracks/4HUQeJ3p6NI3zIioBDvFuD,https://api.spotify.com/v1/audio-analysis/4HUQeJ3p6NI3zIioBDvFuD,365933,4
A Deusa Dos Orixás,Clara Nunes,spotify:track:5RKjI6OfKO2sjMpx67bkmm,0.68,0.549,9,-12.331,1,0.0947,0.272,0.0,0.116,0.969,83.497,audio_features,5RKjI6OfKO2sjMpx67bkmm,spotify:track:5RKjI6OfKO2sjMpx67bkmm,https://api.spotify.com/v1/tracks/5RKjI6OfKO2sjMpx67bkmm,https://api.spotify.com/v1/audio-analysis/5RKjI6OfKO2sjMpx67bkmm,151227,4
Jackson (with June Carter Cash),Johnny Cash,spotify:track:73iwWviVbnrQRuzbsz023q,0.736,0.548,0,-6.261,1,0.0362,0.278,0.000597,0.177,0.731,128.439,audio_features,73iwWviVbnrQRuzbsz023q,spotify:track:73iwWviVbnrQRuzbsz023q,https://api.spotify.com/v1/tracks/73iwWviVbnrQRuzbsz023q,https://api.spotify.com/v1/audio-analysis/73iwWviVbnrQRuzbsz023q,164733,4
Ghostwriter,RJD2,spotify:track:5Nn2Dj7OQsGL6pgQ9iIzPp,0.747,0.68,1,-6.187,1,0.0346,0.0107,0.803,0.0964,0.594,93.804,audio_features,5Nn2Dj7OQsGL6pgQ9iIzPp,spotify:track:5Nn2Dj7OQsGL6pgQ9iIzPp,https://api.spotify.com/v1/tracks/5Nn2Dj7OQsGL6pgQ9iIzPp,https://api.spotify.com/v1/audio-analysis/5Nn2Dj7OQsGL6pgQ9iIzPp,317933,4
Body Music,AlunaGeorge,spotify:track:2D2p0eif9odHKFnRMIQU0w,0.654,0.477,4,-10.337,0,0.0706,0.424,0.0,0.218,0.514,95.054,audio_features,2D2p0eif9odHKFnRMIQU0w,spotify:track:2D2p0eif9odHKFnRMIQU0w,https://api.spotify.com/v1/tracks/2D2p0eif9odHKFnRMIQU0w,https://api.spotify.com/v1/audio-analysis/2D2p0eif9odHKFnRMIQU0w,242277,4
Yesterday Was Hard On All Of Us - Radio Edit,Fink,spotify:track:0j1YhB6z2ucnz200ueyp2B,0.412,0.576,9,-9.403,0,0.0277,0.681,0.0315,0.141,0.264,97.289,audio_features,0j1YhB6z2ucnz200ueyp2B,spotify:track:0j1YhB6z2ucnz200ueyp2B,https://api.spotify.com/v1/tracks/0j1YhB6z2ucnz200ueyp2B,https://api.spotify.com/v1/audio-analysis/0j1YhB6z2ucnz200ueyp2B,208627,4
Carry,Ryan Montbleau,spotify:track:0J22fYZReDIiD5dBLzOyzl,0.669,0.153,2,-13.926,1,0.0304,0.693,6.85e-05,0.121,0.37,106.184,audio_features,0J22fYZReDIiD5dBLzOyzl,spotify:track:0J22fYZReDIiD5dBLzOyzl,https://api.spotify.com/v1/tracks/0J22fYZReDIiD5dBLzOyzl,https://api.spotify.com/v1/audio-analysis/0J22fYZReDIiD5dBLzOyzl,216000,4
Intentions,The Whitest Boy Alive,spotify:track:6NhuC3eym57grcOoZo4Jst,0.888,0.415,0,-6.583,1,0.0405,0.114,0.13,0.0905,0.671,93.714,audio_features,6NhuC3eym57grcOoZo4Jst,spotify:track:6NhuC3eym57grcOoZo4Jst,https://api.spotify.com/v1/tracks/6NhuC3eym57grcOoZo4Jst,https://api.spotify.com/v1/audio-analysis/6NhuC3eym57grcOoZo4Jst,219427,4
Can't Stop Now,Major Lazer,spotify:track:4V7vcixwGO7cwAdxJCYVYs,0.717,0.604,3,-6.194,1,0.141,0.0772,0.000243,0.338,0.585,81.549,audio_features,4V7vcixwGO7cwAdxJCYVYs,spotify:track:4V7vcixwGO7cwAdxJCYVYs,https://api.spotify.com/v1/tracks/4V7vcixwGO7cwAdxJCYVYs,https://api.spotify.com/v1/audio-analysis/4V7vcixwGO7cwAdxJCYVYs,243253,4
Autumn Sun,Emilíana Torrini,spotify:track:4u0XMQsb1WPZnC9mlM68A4,0.56,0.113,6,-14.755,0,0.0412,0.959,0.0143,0.113,0.141,156.795,audio_features,4u0XMQsb1WPZnC9mlM68A4,spotify:track:4u0XMQsb1WPZnC9mlM68A4,https://api.spotify.com/v1/tracks/4u0XMQsb1WPZnC9mlM68A4,https://api.spotify.com/v1/audio-analysis/4u0XMQsb1WPZnC9mlM68A4,251613,4
Ooo Baby Baby,Smokey Robinson & The Miracles,spotify:track:2HcBa4FbX56sHRUvG8A0lr,0.26,0.257,7,-10.021,1,0.0313,0.73,2.43e-05,0.0982,0.394,178.825,audio_features,2HcBa4FbX56sHRUvG8A0lr,spotify:track:2HcBa4FbX56sHRUvG8A0lr,https://api.spotify.com/v1/tracks/2HcBa4FbX56sHRUvG8A0lr,https://api.spotify.com/v1/audio-analysis/2HcBa4FbX56sHRUvG8A0lr,169800,3
Come and Get It,Beans & Fatback,spotify:track:7iuXdT8CcAik4crjwJ2NVf,0.712,0.793,6,-3.488,1,0.0374,0.333,0.00305,0.103,0.885,109.631,audio_features,7iuXdT8CcAik4crjwJ2NVf,spotify:track:7iuXdT8CcAik4crjwJ2NVf,https://api.spotify.com/v1/tracks/7iuXdT8CcAik4crjwJ2NVf,https://api.spotify.com/v1/audio-analysis/7iuXdT8CcAik4crjwJ2NVf,174387,4
Carmensita,Devendra Banhart,spotify:track:1CzcrUxj97grUPWZ8HC3Dz,0.609,0.668,4,-10.502,0,0.0459,0.594,0.121,0.113,0.789,124.67,audio_features,1CzcrUxj97grUPWZ8HC3Dz,spotify:track:1CzcrUxj97grUPWZ8HC3Dz,https://api.spotify.com/v1/tracks/1CzcrUxj97grUPWZ8HC3Dz,https://api.spotify.com/v1/audio-analysis/1CzcrUxj97grUPWZ8HC3Dz,289293,4
Such a Night,Dr. John,spotify:track:3GppcLIGlSlvujXgR0pPRt,0.829,0.248,5,-16.94,1,0.169,0.531,0.0,0.0732,0.786,121.444,audio_features,3GppcLIGlSlvujXgR0pPRt,spotify:track:3GppcLIGlSlvujXgR0pPRt,https://api.spotify.com/v1/tracks/3GppcLIGlSlvujXgR0pPRt,https://api.spotify.com/v1/audio-analysis/3GppcLIGlSlvujXgR0pPRt,177733,4
Nothing To Worry About,Peter Bjorn and John,spotify:track:4qaXgj5TezCSCZD6tnGNp0,0.713,0.623,0,-6.714,1,0.129,0.192,0.0,0.0607,0.566,95.1,audio_features,4qaXgj5TezCSCZD6tnGNp0,spotify:track:4qaXgj5TezCSCZD6tnGNp0,https://api.spotify.com/v1/tracks/4qaXgj5TezCSCZD6tnGNp0,https://api.spotify.com/v1/audio-analysis/4qaXgj5TezCSCZD6tnGNp0,178360,4
Thieves In The Night,Hot Chip,spotify:track:42G8Aqqv0sKApmItJvJ8dx,0.628,0.719,8,-5.443,1,0.041,0.0138,0.0951,0.206,0.371,134.071,audio_features,42G8Aqqv0sKApmItJvJ8dx,spotify:track:42G8Aqqv0sKApmItJvJ8dx,https://api.spotify.com/v1/tracks/42G8Aqqv0sKApmItJvJ8dx,https://api.spotify.com/v1/audio-analysis/42G8Aqqv0sKApmItJvJ8dx,368277,4
Finally Moving,Pretty Lights,spotify:track:3WS7spXVlbeC5kjePmHMQW,0.735,0.555,1,-8.84,0,0.0366,0.382,0.856,0.0952,0.523,100.01,audio_features,3WS7spXVlbeC5kjePmHMQW,spotify:track:3WS7spXVlbeC5kjePmHMQW,https://api.spotify.com/v1/tracks/3WS7spXVlbeC5kjePmHMQW,https://api.spotify.com/v1/audio-analysis/3WS7spXVlbeC5kjePmHMQW,277975,4
Folsom Prison Blues,Johnny Cash,spotify:track:5O6mz4qn6q7MSKubAzRnDW,0.594,0.676,5,-9.552,1,0.0528,0.0267,0.00541,0.905,0.898,110.71,audio_features,5O6mz4qn6q7MSKubAzRnDW,spotify:track:5O6mz4qn6q7MSKubAzRnDW,https://api.spotify.com/v1/tracks/5O6mz4qn6q7MSKubAzRnDW,https://api.spotify.com/v1/audio-analysis/5O6mz4qn6q7MSKubAzRnDW,162907,4
Plastic Soul,YACHT,spotify:track:43p0RNDfD6lSnHrQJUeffT,0.639,0.452,7,-7.199,1,0.0324,0.00258,0.00153,0.0473,0.487,100.019,audio_features,43p0RNDfD6lSnHrQJUeffT,spotify:track:43p0RNDfD6lSnHrQJUeffT,https://api.spotify.com/v1/tracks/43p0RNDfD6lSnHrQJUeffT,https://api.spotify.com/v1/audio-analysis/43p0RNDfD6lSnHrQJUeffT,221946,4
Wait For Me,Susan Tedeschi,spotify:track:1l3bkDAw1rxeGrPweih1jh,0.401,0.534,7,-6.576,1,0.0524,0.59,7.41e-05,0.981,0.396,80.718,audio_features,1l3bkDAw1rxeGrPweih1jh,spotify:track:1l3bkDAw1rxeGrPweih1jh,https://api.spotify.com/v1/tracks/1l3bkDAw1rxeGrPweih1jh,https://api.spotify.com/v1/audio-analysis/1l3bkDAw1rxeGrPweih1jh,358933,4
I Get High On You,Sly Stone,spotify:track:0DKvBAgkajew9Mi2ZMZRXo,0.537,0.874,5,-9.656,1,0.0704,0.186,0.00115,0.405,0.615,97.381,audio_features,0DKvBAgkajew9Mi2ZMZRXo,spotify:track:0DKvBAgkajew9Mi2ZMZRXo,https://api.spotify.com/v1/tracks/0DKvBAgkajew9Mi2ZMZRXo,https://api.spotify.com/v1/audio-analysis/0DKvBAgkajew9Mi2ZMZRXo,193000,4
